,name,price,brand,rating,cpu_type,cpu_speed,cores,storage,memory,gpu_type,gpu_memory,screen,weight
226,Eluktronics N970TF Desktop Powered CPU Gaming Laptop - Intel i3-9100 Quad Core Processor Win 10 Home 8GB GDDR6 NVIDIA GeForce RTX 2070 17.3” Full HD 144Hz Display 256GB Performance SSD 12GB DDR4 RAM,1499.95,Eluktronics,5,Intel Core i3,3.6,4,640,12,1650,8 GB,17.3,2.3
227,"DELL Latitude 7400 YVMWD 14"" FHD Laptop i7-8665U 16GB 256GB SSD W10P",1499,-1,5,-1,2.4,6,640,12,1650,12,14,2
228,"ASUS ROG GX531GM-DH74 15.6"" 144 Hz Intel Core i7 8th Gen 8750H (2.20 GHz) NVIDIA GeForce GTX 1060 16 GB Memory 512 GB SSD Windows 10 Home 64-bit Gaming Laptop",1499,ASUS,5,Intel Core i7 8th Gen,2.2,6,512,16,1650,6 GB,15.6,2.69
229,"HIDevolution ASUS Zephyrus M GM501GM 15.6” FHD 144Hz, 2.2 GHz i7-8750H, GTX 1060, 16GB DDR4/2666MHz RAM, PCIe 256GB SSD + 1TB SSHD, Authorized Performance Upgrades & Warranty",1499,ASUS,5,Intel Core i7 8th Gen,2.2,6,1256,16,1650,6 GB,15.6,1.9
230,"DELL Latitude 5491 14"" FHD Laptop i5-8400H 8GB 256GB SSD W10",1484.58,-1,5,-1,2.4,6,640,12,1650,12,14,2.37
231,"Lenovo ThinkPad P53s 15.6"" Laptop i7-8665U 16GB 256GB SSD W10P Quadro P520",1480.7,-1,5,-1,2.4,6,640,12,1650,12,15.6,2.1
232,"Open Box: Razer Blade RZ09-01652E21 14.0"" 60 Hz IPS Intel Core i7 6th Gen 6700HQ (2.60 GHz) NVIDIA GeForce GTX 970M 16 GB Memory 256 GB M.2 PCIe SSD Windows 10 Home Gaming Laptop",1479.99,Razer,5,Intel Core i7 6th Gen,2.6,4,256,16,1650,12,14,3.2
233,"ASUS ROG Strix III G GL531GU-WB74 15.6"" 120 Hz Intel Core i7 9th Gen 9750H (2.60 GHz) NVIDIA GeForce GTX 1660 Ti 16 GB Memory 512 GB PCIe SSD Windows 10 Home 64-bit Gaming Laptop",1459.98,ASUS,5,Intel Core i7 9th Gen,2.6,6,512,16,1650,6 GB,15.6,1.6
234,"DELL i7577-7289BLK 15.6"" 4K/UHD GTX 1060 6 GB VRAM i7-7700HQ 16 GB Memory 1 TB HDD + 512 GB SSD Windows 10 Home Gaming Laptop",1449.99,DELL,5,Intel Core i7 7th Gen,2.8,4,1512,16,1650,6 GB,15.6,1.6
235,"MSI GP Series GP65 Leopard 9SD-226 15.6"" 144 Hz IPS Intel Core i7 9th Gen 9750H (2.60 GHz) NVIDIA GeForce GTX 1660 Ti 16 GB Memory 512 GB NVMe SSD Windows 10 Home 64-bit Gaming Laptop",1449,MSI,5,Intel Core i7 9th Gen,2.6,6,512,16,1650,6 GB,15.6,2.36
