name,price,brand,series,model,rating,os,cpu_type,cpu_speed,cores,storage,memory,gpu_type,gpu_memory,screen
"HP Laptop EliteBook 840 G5 (6NT01UT#ABA) Intel Core i5 8th Gen 8350U (1.70 GHz) 8 GB Memory 256 GB SSD Intel UHD Graphics 620 14.0"" Windows 10 Pro 64-bit",869.89,,,,,,,,,256,8,,,
"ASUS ZenBook 14, Intel Core Whiskey Lake i7-8565U, 8 GB RAM, 512 GB NVMe PCIe SSD, Wi-Fi 5, Windows 10, Silver Blue, Ultra Thin and Light Laptop, 4-Way NanoEdge 14"" FHD UX431FA-ES74",889.99,ASUS,ZenBook,UX431FA-ES74,4,Windows 10 Home 64-bit,Intel Core i7 8th Gen,8565U (1.80 GHz),Quad-core Processor,512 GB M.2 PCIe Gen3x2 NVMe SSD,8 GB LPDDR3,Intel UHD Graphics 620,Shared system memory,"14.0"""
"Apple Laptop MacBook Air (Mid 2017) MQD32LL/A Intel Core i5 5th Gen 5350U (1.80 GHz) 8 GB Memory 512 GB SSD Intel HD Graphics 6000 13.3"" Mac OS X v10.12 Sierra","1,199.95",Apple,MacBook Air (Mid 2017),MQD32LL/A,,Mac OS X v10.12 Sierra,Intel Core i5 5th Gen,5350U (1.80 GHz),Dual-core Processor,512 GB SSD,8 GB,Intel HD Graphics 6000,Shared system memory,"13.3"""
"ASUS ZenBook 14, Intel Core Whiskey Lake i5-8265U, 8 GB RAM, 256 GB NVMe PCIe SSD, NumberPad, Wi-Fi 5, Windows 10, Ultra Thin and Light Laptop, 4-Way NanoEdge 14"" FHD, Silver Blue, UX431FA-ES51",787,ASUS,ZenBook,UX431FA-ES51,4,Windows 10 Home 64-bit,Intel Core i5 8th Gen,8265U (1.60 GHz),Quad-core Processor,256 GB M.2 PCIe Gen3x2 NVMe SSD,8 GB LPDDR3,Intel UHD Graphics 620,Shared system memory,"14.0"""
"ASUS VivoBook F512 Thin & Light Laptop, 15.6"" FHD NanoEdge WideView, AMD R5-3500U, 8 GB DDR4, 128 GB SSD + 1 TB HDD, Backlit KB, Fingerprint, Windows 10, Slate Grey, F512DA-EB55 - OEM",529.99,ASUS,VivoBook,F512DA-EB55,3,Windows 10 Home 64-bit,AMD Ryzen 5 2nd Gen,3500U (2.10 GHz),Quad-core Processor,1 TB HDD + 128 GB SSD,8 GB,AMD Radeon Vega 8,Shared system memory,"15.6"""
"ASUS VivoBook F512 Thin & Light Laptop, 15.6"" FHD NanoEdge WideView, AMD R5-3500U, 8 GB DDR4, 128 GB SSD + 1 TB HDD, Backlit KB, Fingerprint, Windows 10, Coral Crush, F512DA-EB55-CL",529.99,ASUS,VivoBook,F512DA-EB55-CL,3,Windows 10 Home 64-bit,AMD Ryzen 5 2nd Gen,3500U (2.10 GHz),Quad-core Processor,1 TB HDD + 128 GB SSD,8 GB,AMD Radeon Vega 8,Shared system memory,"15.6"""
"ASUS VivoBook F512 Thin & Light Laptop, 15.6"" FHD NanoEdge WideView, AMD R5-3500U, 8 GB DDR4, 128 GB SSD + 1 TB HDD, Backlit KB, Fingerprint, Windows 10, Transparent Silver, F512DA-EB55-SL - OEM",529.99,ASUS,VivoBook,F512DA-EB55-SL,3,Windows 10 Home 64-bit,AMD Ryzen 5 2nd Gen,3500U (2.10 GHz),Quad-core Processor,1 TB HDD + 128 GB SSD,8 GB,AMD Radeon Vega 8,Shared system memory,"15.6"""
"Acer Laptop Swift 3 SF315-52-81HD Intel Core i7 8th Gen 8550U (1.80 GHz) 8 GB Memory 256 GB SSD Intel UHD Graphics 620 15.6"" Windows 10 Home 64-bit",639.99,Acer,Swift 3,SF315-52-81HD,3,Windows 10 Home 64-bit,Intel Core i7 8th Gen,8550U (1.80 GHz),Quad-core Processor,256 GB SSD,8 GB,Intel UHD Graphics 620,Shared system memory,"15.6"""
"ASUS VivoBook S510UA-DS71 Ultra Thin and Portable Laptop, Intel Core i7-8550U Processor, 8 GB DDR4 RAM, 128 GB SSD + 1 TB HDD, 15.6"" FHD WideView Display, ASUS NanoEdge Bezel, Metal Cover, S510UA-DS71",819.99,ASUS,VivoBook S,S510UA-DS71,3,Windows 10 Home 64-Bit,Intel Core i7 8th Gen,8550U (1.80 GHz),Quad-core Processor,1 TB HDD + 128 GB M.2 SATA SSD,8 GB DDR4,Intel UHD Graphics 620,Shared system memory,"15.6"""
"HP Laptop ProBook 430 G6 5VP50UT#ABA Intel Core i5 8th Gen 8265U (1.60 GHz) 4 GB Memory 128 GB SSD Intel UHD Graphics 620 13.3"" Windows 10 Home 64-bit",429.18,HP,ProBook 430 G6,5VP50UT#ABA,3,Windows 10 Home 64-bit,Intel Core i5 8th Gen,8265U (1.60 GHz),Quad-core Processor,128 GB M.2 SATA SSD,4 GB,Intel UHD Graphics 620,Shared system memory,"13.3"""
