name,price,brand,series,model,rating,os,cpu_type,cpu_speed,cores,storage,memory,gpu_type,gpu_memory,screen
"MSI GS Series GS65 8RF-074CA Stealth Thin 15.6"" Intel Core i7 8th Gen 8750H (2.20 GHz) NVIDIA GeForce GTX 1070 16 GB Memory 256 GB NVMe SSD Windows 10 Pro 64-Bit Gaming Laptop","2,634.99",MSI,GS Series,GS65 8RF-074CA Stealth Thin,4,Windows 10 Pro 64-Bit,Intel Core i7 8th Gen,8750H (2.20 GHz),6-core Processor,256 GB NVMe SSD,16 GB,NVIDIA GeForce GTX 1070,8 GB,"15.6"""
"Asus - Gaming Laptop - 17.3"" FHD IPS 144 Hz G-Sync, Intel Core i9-8950HK, NVIDIA GeForce RTX 2080, 16 GB DDR4 RAM, 512 GB SSD, RGB, Windows 10 Pro - ROG G703GX Desktop Replacement (G703GX-PS91K)","2,599.00",ASUS,ROG,G703GX-PS91K,3,Windows 10 Pro 64-bit,Intel Core i9 8th Gen,8950HK (2.90 GHz),6-core Processor,512 GB M.2 PCIe NVMe SSD,16 GB,NVIDIA GeForce RTX 2080,8 GB,"17.3"""
"ASUS ROG G703GX-PS91K Premium Desktop Replacement Gaming and Business Laptop (Intel i9-8950HK 6-Core, 16GB RAM, 512GB PCIe SSD, 17.3"" Full HD, GeForce RTX 2080, Win 10 Pro) VR Ready","2,599.00",ASUS,,,4,Windows 10 Pro,Intel Core i7,2.9 GHz,,,16 GB,NVIDIA GeForce RTX 2080,8 GB,"17.3"""
"ASUS ROG G703GX-PS91K Premium Desktop Replacement Gaming and Business Laptop (Intel i9-8950HK 6-Core, 16GB RAM, 512GB PCIe SSD, 17.3"" Full HD, GeForce RTX 2080, Win 10 Pro) VR Ready","2,599.00",ASUS,,,4,Windows 10 Pro,Intel Core i7,2.9 GHz,,,16 GB,NVIDIA GeForce RTX 2080,8 GB,"17.3"""
"HIDevolution MSI GT76 Titan DT 9SF 17.3” FHD 240Hz | 3.6 GHz i7-9700K, RTX 2070, 16GB 2666MHz RAM, 512GB PCIe SSD + 1TB HDD | Authorized Performance Upgrades & Warranty","2,571.00",MSI,GT Series,GT76 Titan DT 9SF-091,5,Windows 10 Pro,Intel Core i7 9th Gen,9700K (3.60 GHz),8-core Processor,512 GB NVMe SSD + 1 TB HDD,16 GB,NVIDIA GeForce RTX 2070,8 GB,"17.3"""
"Lenovo ThinkPad P73 17.3"" UHD Laptop i7-9850H 16GB 512GB SSD W10P Quadro T2000","2,560.99",Lenovo,,,4,,,,,,,,,"17.3"""
"HP OMEN - 17t Gaming and Entertainment Laptop (Intel i9-9880H 8-Core, 8GB RAM, 512GB  SATA SSD, 17.3"" Full HD (1920x1080), NVIDIA RTX 2080 (Max-Q), Wifi, Bluetooth, Webcam, 3xUSB 3.1, Win 10 Home)","2,551.50",HP,OMEN - 17t,,5,Windows 10 Home,Intel Core i9 9th Gen,2.3 GHz,8-core Processor,,8 GB,NVIDIA GeForce RTX 2080,6 GB,"17.3"""
"ASUS ZenBook Pro Duo UX581GV Gaming and Business Laptop (Intel i7-9750H 6-Core, 16GB RAM, 1TB SSD, 15.6"" Touch  4K UHD (3840x2160), NVIDIA RTX 2060, Wifi, Bluetooth, Webcam, 2xUSB 3.1, Win 10 Pro)","2,499.99",ASUS,ZenBook Pro Duo UX581GV,,4,Windows 10 Pro,Intel Core i7 9th Gen,2.60 GHz,6-core Processor,,16 GB,NVIDIA GeForce RTX 2060,6 GB,"15.6"""
"ASUS ROG Zephyrus S GX701 Gaming and Entertainment Laptop (Intel i7-9750H 6-Core, 16GB RAM, 1TB SSD, 17.3"" Full HD (1920x1080), NVIDIA RTX 2070, Wifi, Bluetooth, Webcam, 3xUSB 3.1, Win 10 Home)","2,499.99",ASUS,ROG Zephyrus S GX701,,4,Windows 10 Home,Intel Core i7 9th Gen,2.60 GHz,6-core Processor,,16 GB,NVIDIA GeForce RTX 2070,8 GB,"17.3"""
"AORUS 15-X9-RT4AD Core i7-8750H NVIDIA GeForce RTX 2070 16 GB Memory 512 GB Intel SSD 1 TB HDD Win10 15.6"" FHD LG IPS 144 Hz Gaming Laptop -- ONLY @ NEWEGG","2,499.95",Aorus,,15-X9-RT4AD,4,Windows 10 Home 64-bit,Intel Core i7 8th Gen,8750H (2.20 GHz),6-core Processor,512 GB M.2 NVMe PCIe SSD + 1 TB HDD,16 GB,NVIDIA GeForce RTX 2070,8 GB,"15.6"""
"Acer Predator Triton 500 PT515-51-75L8 15.6"" 144 Hz IPS Intel Core i7 8th Gen 8750H (2.20 GHz) NVIDIA GeForce RTX 2080 Max-Q 16 GB Memory 512 GB SSD Windows 10 Home 64-bit Gaming Laptop","2,499.00",Acer,Predator Triton 500,PT515-51-75L8,4,Windows 10 Home 64-bit,Intel Core i7 8th Gen,8750H (2.20 GHz),6-core Processor,512 GB PCIe NVMe SSD,16 GB,NVIDIA GeForce RTX 2080,8 GB,"15.6"""
"Open Box: ROG Zephyrus S Ultra Slim Gaming Laptop, 15.6"" 144 Hz IPS-Type Full HD, GeForce RTX 2080, Intel Core i7-9750H Processor, 16 GB DDR4, 1 TB PCIe NVMe SSD, Aura Sync RGB, Windows 10 Pro, GX531GX-XB77","2,488.99",ASUS,ROG Zephyrus S,GX531GX-XB77,4,Windows 10 Pro 64-bit,Intel Core i7 9th Gen,9750H (2.60 GHz),6-core Processor,1 TB PCIe NVMe Hyper Drive SSD,16 GB,NVIDIA GeForce RTX 2080,8 GB,"15.6"""
"Open Box: MSI GS Series GS65 Stealth-667 15.6"" 240 Hz Intel Core i9 9th Gen 9880H (2.30 GHz) NVIDIA GeForce RTX 2070 32 GB Memory 1 TB NVMe SSD Windows 10 Pro 64-bit Gaming Laptop","2,465.00",MSI,GS Series,GS65 Stealth-667,4,Windows 10 Pro 64-bit,Intel Core i9 9th Gen,9880H (2.30 GHz),8-core Processor,1 TB NVMe SSD,32 GB,NVIDIA GeForce RTX 2070,8 GB,"15.6"""
Lenovo ThinkPad X1 15.6 FHD Gaming Laptop i7-9850H 32GB 512GB SSD W10P GTX 1650,"2,451.52",Lenovo,,,4,,,,,,,,,"15.6"""
"HIDevolution Razer Blade 15 Advanced 15.6"" FHD 144Hz Gaming Laptop | Black | 2.2 GHz i7-8750H, RTX 2060, 16GB 2666MHz RAM, PCIe 512GB SSD | Performance Upgrades & Warranty","2,449.00",Razer,Blade,Blade 15,4,Windows 10 Home,Intel Core i7 8th Gen,8750H (2.20 GHz),6-core Processor,512 GB SSD,16 GB,NVIDIA GeForce RTX 2060,6 GB,"15.6"""
"HP OMEN - 17t Gaming and Entertainment Laptop (Intel i9-9880H 8-Core, 8GB RAM, 512GB SSD, 17.3"" Full HD (1920x1080), NVIDIA RTX 2080 (Max-Q), Wifi, Win 10 Home) with HP Z5000 Mouse , ME2 Backpack","2,429.00",HP,OMEN - 17t,,4,Windows 10 Home,Intel Core i9 9th Gen,2.3 GHz,8-core Processor,,8 GB,NVIDIA GeForce RTX 2080,6 GB,"17.3"""
"MSI GE Series GE63 Raider RGB-499 15.6"" 144 Hz IPS Intel Core i7 9th Gen 9750H (2.60 GHz) NVIDIA GeForce RTX 2080 32 GB Memory 512 GB NVMe SSD Windows 10 Home 64-bit Gaming Laptop","2,399.00",MSI,GE Series,GE63 Raider RGB-499,4,Windows 10 Home 64-bit,Intel Core i7 9th Gen,9750H (2.60 GHz),6-core Processor,512 GB NVMe SSD,32 GB,NVIDIA GeForce RTX 2080,8 GB,"15.6"""
"HIDevolution Alienware Area-51M 17.3"" FHD 144Hz Gaming Laptop | Black | 3.6 GHz i7-9700K, RTX 2060, 8GB 2400MHz RAM, 1TB SSHD | Authorized Performance Upgrades & Warranty","2,399.00",Alienware,Area-51M,,4,Windows 10 Home,Intel Core i7 9th Gen,3.60 GHz,8-core Processor,1TB (+8GB SSD) Hybrid Drive,8 GB,NVIDIA GeForce RTX 2060,6 GB,"17.3"""
"GIGABYTE AERO 15-X9-RT5P Core i7-8750H NVIDIA GeForce RTX 2070 16 GB Memory 1 TB Intel SSD Win10 Pro 15.6"" FHD LG IPS 144 Hz Gaming Laptop","2,399.00",GIGABYTE,,AERO 15-X9-RT5P,4,Windows 10 Pro 64-bit,Intel Core i7 8th Gen,8750H (2.20 GHz),6-core Processor,1 TB M.2 PCIe NVMe SSD,16 GB,NVIDIA GeForce RTX 2070,8 GB,"15.6"""
"CUK ASUS ROG Zephyrus S GX502GW Gaming Laptop (Intel i7-9750H, 32GB RAM, 1TB NVMe SSD, NVIDIA GeForce RTX 2070 8GB, 15.6"" FHD IPS-Level 240Hz G-SYNC, Windows 10 Pro) Gamer Notebook Computer","2,389.99",ASUS,,,,Windows 10 Pro,Intel Core i7 9th Gen,2.60 GHz,6,1TB NVMe Solid State Drive,32 GB,NVIDIA GeForce RTX 2070,8 GB,"15.6"""
"Open Box: MSI GS65 Stealth THIN-259 Gaming Laptop GTX 1070 8 GB i7-8750H 15.6"" Windows 10 Pro 64-Bit","2,384.00",MSI,GS Series,GS65 Stealth THIN-259,4,Windows 10 Pro 64-Bit,Intel Core i7 8th Gen,8750H (2.20 GHz),6-core Processor,1 TB SSD,32 GB,NVIDIA GeForce GTX 1070,8 GB,"15.6"""
"MSI GT76 Titan 17.3"" 144 Hz IPS Desktop Performance Gaming Laptop Intel Core i7-9700K RTX 2070 16 GB DDR4 512 GB NVMe SSD Win10 VR Ready","2,353.99",MSI,GT Series,GT76 TITAN DT-230,4,Windows 10 Home 64-bit,Intel Core i7 9th Gen,9700K (3.60 GHz),8-core Processor,512 GB NVMe SSD,16 GB,NVIDIA GeForce RTX 2070,8 GB,"17.3"""
