name,price,brand,series,model,rating,os,cpu_type,cpu_speed,cores,storage,memory,gpu_type,gpu_memory,screen
"Refurbished: Apple Grade C Laptop MacBook Pro RRMF841LL/A-C1 Intel Core i5 5th Gen 5287U (2.90 GHz) 8 GB Memory 512 GB SSD Intel Iris Graphics 6100 13.3"" Mac OS X v10.10 Yosemite",609.99,Apple,MacBook Pro,RRMF841LL/A-C1,,Mac OS X v10.10 Yosemite,Intel Core i5 5th Gen,5287U (2.90 GHz),Dual-core Processor,512 GB SSD,8 GB,Intel Iris Graphics 6100,Shared system memory,"13.3"""
"Refurbished: Apple Grade C Laptop MacBook Air RRMJVM2LL/AU1-C Intel Core i5 1.60 GHz 8 GB Memory 256 GB SSD 11.6"" Mac OS X v10.10 Yosemite",409.99,Apple,MacBook Air,RRMJVM2LL/AU1-C,,Mac OS X v10.10 Yosemite,Intel Core i5,1.60 GHz,,256 GB SSD,8 GB,,,"11.6"""
"Apple Laptop MacBook Pro MR932LL/A Intel Core i7 8th Gen 8750H (2.20 GHz) 16 GB Memory 256 GB SSD AMD Radeon Pro 555X 15.4"" macOS High Sierra","2,099.00",Apple,MacBook Pro,MR932LL/A,,macOS High Sierra,Intel Core i7 8th Gen,8750H (2.20 GHz),6-core Processor,256 GB SSD,16 GB,AMD Radeon Pro 555X,4 GB,"15.4"""
"Refurbished: Apple MacBook Pro ME865LL/A Intel Core i5-4258U X2 2.9GHz 8GB 256GB SSD 13.3"", Silver (Refurbished)",696.99,Apple,,MacBook Pro ME865LL/A,,Mac OS X v10.9 Mavericks,,,Dual-core Processor,,,Intel Iris Graphics 5100,,"13.3"""
"Apple Laptop MacBook Pro MPXU2LL/A Intel Core i5 2.3 GHz 8 GB Memory 256 GB PCIe-based SSD Intel Iris Plus Graphics 640 13.3"" Mac OS X v10.12 Sierra","1,448.99",Apple,MacBook Pro,MPXU2LL/A,,Mac OS X v10.12 Sierra,Intel Core i5,2.3 GHz,Dual-core Processor,256 GB PCIe-based onboard SSD,8 GB,Intel Iris Plus Graphics 640,Shared system memory,"13.3"""
"Refurbished: Apple Grade A Laptop MacBook Pro with Touch Bar (Late 2016) MNQF2LL/A Intel Core i5 2.9 GHz 8 GB Memory 512 GB SSD 13.3"" Mac OS X v10.12 Sierra","1,189.99",Apple,MacBook Pro with Touch Bar (Late 2016),MNQF2LL/A,,Mac OS X v10.12 Sierra,Intel Core i5,2.9 GHz,,512 GB SSD,8 GB,,,"13.3"""
"Refurbished: Apple MacBook Pro MD101LL/A Intel Core i5-3210M X2 2.5GHz 4GB 500GB 13.3"", Silver (Scratch and Dent)",424.34,Apple,,,,Mac OS X v10.7 Lion,,,Dual-core Processor,,,Intel HD Graphics 4000,,"13.3"""
"Apple MacBook Pro 13.3"" Laptop Retina Display 2.7GHz i5 8GB RAM 128GB SSD",799.99,Apple,MacBook Pro,MF839LL/A,,,Intel Core i5,2.70 GHz,,,8 GB,,,"13.3"""
"Apple 16"" MacBook Pro (Late 2019, Space Gray) with Magic Mouse 2 Bundle","2,638.99",Apple,,,,,Intel Core i7,2.60 GHz,,,16 GB,,,"16.0"""
"Refurbished: MacBook A1534 Intel Core M-5Y31 X2 1.1GHz 8GB 256GB SSD, Space Gray (Refurbished)",704.99,Intel,,MacBook MacBook A1534,1,Mac OS X v10.10 Yosemite,,,Dual-core Processor,,,Intel HD Graphics 5300,,"12.0"""
"Refurbished: Apple 3rd Party Refurbished Grade C Laptop MacBook Air MF068LL/A Intel Core i7 4th Gen 4650U (1.70 GHz) 8 GB Memory 256 GB SSD Intel HD Graphics 5000 13.3""",509.99,Apple,MacBook Air,MF068LL/A,,,Intel Core i7 4th Gen,4650U (1.70 GHz),Dual-core Processor,256 GB SSD,8 GB,Intel HD Graphics 5000,Shared system memory,"13.3"""
