,name,price,brand,rating,cpu_type,cpu_speed,cores,storage,memory,gpu_type,gpu_memory,screen,weight
234,"HP 15.6"" Thin and Light Touchscreen Customized Premium Laptop | 10th Gen Intel Quad-Core i5-1035G1  | 12GB RAM 1024GB SSD | USB Type-C | Only 3.8lb | Upto 10 Hours Mixed Usage | Windows 10 Home Silver",665.81,HP,-1,Intel Core i5,1,4,1024,12,Intel UHD Graphics,-1,15.6,1.6
235,"HP 15.6"" Thin and Light Touchscreen Customized Premium Laptop | 10th Gen Intel Quad-Core i5-1035G1  | 8GB RAM 1024GB SSD | USB Type-C | Only 3.8lb | Upto 10 Hours Mixed Usage | Windows 10 Home Silver",640.2,HP,-1,Intel Core i5,1,4,1024,8,Intel UHD Graphics,-1,15.6,2.36
236,"HP 15.6"" Thin and Light Touchscreen Customized Premium Laptop | 10th Gen Intel Quad-Core i5-1035G1  | 24GB RAM 128GB SSD | USB Type-C | Only 3.8lb | Upto 10 Hours Mixed Usage | Windows 10 Home Silver",627.4,HP,-1,Intel Core i5,1,4,128,24,Intel UHD Graphics,-1,15.6,2.1
237,"HP 15.6"" Thin and Light Touchscreen Customized Premium Laptop | 10th Gen Intel Quad-Core i5-1035G1  | 12GB RAM 512GB SSD | USB Type-C | Only 3.8lb | Upto 10 Hours Mixed Usage | Windows 10 Home Silver",588.99,HP,-1,Intel Core i5,1,4,512,12,Intel UHD Graphics,-1,15.6,2.2
238,"HP 15.6"" Thin and Light Touchscreen Customized Premium Laptop | 10th Gen Intel Quad-Core i5-1035G1  | 24GB RAM 1024GB SSD | USB Type-C | Only 3.8lb | Upto 10 Hours Mixed Usage | Windows 10 Home Silver",755.44,HP,-1,Intel Core i5,1,4,1024,24,Intel UHD Graphics,-1,15.6,4.7
239,"HP 15.6"" Thin and Light Touchscreen Customized Premium Laptop | 10th Gen Intel Quad-Core i5-1035G1  | 12GB RAM 256GB SSD | USB Type-C | Only 3.8lb | Upto 10 Hours Mixed Usage | Windows 10 Home Silver",556.98,HP,-1,Intel Core i5,1,4,256,12,Intel UHD Graphics,-1,15.6,2.5
240,"HP 15.6"" Thin and Light Touchscreen Customized Premium Laptop | 10th Gen Intel Quad-Core i5-1035G1  | 16GB RAM 512GB SSD | USB Type-C | Only 3.8lb | Upto 10 Hours Mixed Usage | Windows 10 Home Silver",614.6,HP,-1,Intel Core i5,1,4,512,16,Intel UHD Graphics,-1,15.6,2.2
241,"HP 15.6"" Thin and Light Touchscreen Customized Premium Laptop | 10th Gen Intel Quad-Core i5-1035G1  | 32GB RAM 128GB SSD | USB Type-C | Only 3.8lb | Upto 10 Hours Mixed Usage | Windows 10 Home Silver",691.42,HP,-1,Intel Core i5,1,4,128,32,Intel UHD Graphics,-1,15.6,2.1
242,"HP 15.6"" Thin and Light Touchscreen Customized Premium Laptop | 10th Gen Intel Quad-Core i5-1035G1  | 8GB RAM 256GB SSD | USB Type-C | Only 3.8lb | Upto 10 Hours Mixed Usage | Windows 10 Home Silver",531.37,HP,-1,Intel Core i5,1,4,256,8,Intel UHD Graphics,-1,15.6,2.69
243,"HP 15.6"" Thin and Light Touchscreen Customized Premium Laptop | 10th Gen Intel Quad-Core i5-1035G1  | 32GB RAM 1024GB SSD | USB Type-C | Only 3.8lb | Upto 10 Hours Mixed Usage | Windows 10 Home Silver",819.46,HP,-1,Intel Core i5,1,4,1024,32,Intel UHD Graphics,-1,15.6,2.56
244,"Refurbished: Lenovo Grade A Laptop ThinkPad T460 Intel Core i5 6th Gen 6300U (2.40 GHz) 8 GB Memory 1 TB HDD Intel HD Graphics 520 14.0"" Windows 10 Home 64-bit",389.99,Lenovo,-1,Intel Core i5 6th Gen,2.4,2,1000,8,Intel HD Graphics 520,Shared system memory,14,1.38
245,"Refurbished: Lenovo Grade A ThinkPad T460 14.0"" Laptop Intel Core i5 6th Gen 6300U (2.40 GHz) 8 GB DDR3L 512 GB SSD WIFI Bluetooth Windows 10 Home 64 bits (Multi-language) 1 Year Warranty",386.99,Lenovo,-1,Intel Core i5 6th Gen,2.4,4,512,8,Intel HD Graphics 520,-1,14,2.2
246,"Refurbished: HP Grade A Laptop ProBook 640 G2 Intel Core i5 6th Gen 6300U (2.40 GHz) 8 GB Memory 256 GB SSD Intel HD Graphics 520 14.0"" Windows 10 Home 64-bit",340.99,HP,-1,Intel Core i5 6th Gen,2.4,2,256,8,Intel HD Graphics 520,Shared system memory,14,2.04
